PartitionKey,escuela,region,municipio,escuela_receptora,nivel,grade,matricula_1819,matricula_1718,matricula_1617,espanol_1819,espanol_1718,espanol_1617,matematica_1819,matematica_1718,matematica_1617,ingles_1819,ingles_1718,ingles_1617,ciencias_1819,ciencias_1718,ciencias_1617,latitude,longitude,escuela_receptora_cat,AcademicYear,All,Disabilities,EconomicallyDisadvantaged,Female,FosterCare,HispanicNOTPuertoRican,Homeless,Male,Migrants,MilitaryParent,NOTDisabilities,NOTEconomicallyDisadvantaged,OtherOrigin,PuertoRican,Section504,SpanishLearners,WhiteNOTHispanic
70425,Cristobal Colon,BAYAMON,BAYAMON,0,PRIMARIO,"K - 5, EEE",179,246,207,42.1,32.5,42.0,38.3,46.5,42.9,29.9,21.9,27.7,67.7,53.1,64.5,18.37521,-66.15804,Schools did not receive displaced students,2019,179,71,146,86,0,3,0,93,0,0,108,33,0,176,1,0,0
71639,Delia Davila de Caban,BAYAMON,TOA BAJA,0,PRIMARIO,PK - 6,260,247,231,55.8,48.3,61.0,34.7,50.0,58.5,32.7,20.0,28.0,32.6,51.3,60.5,18.43506,-66.18149,Schools did not receive displaced students,2019,260,85,187,134,0,2,0,126,0,0,175,73,0,258,0,0,0
71647,Dr. Efrain Sanchez Hidalgo,BAYAMON,TOA BAJA,1,PRIMARIO,"K - 5, EEE",415,315,295,47.9,43.9,37.8,50.7,47.6,38.5,44.1,35.3,35.0,71.4,69.6,67.9,18.44162,-66.16943,Schools received displaced students in SY 2019,2019,415,183,303,189,0,13,10,226,0,0,232,112,0,400,1,1,2
70136,Dr. Hiram Gonzalez,BAYAMON,BAYAMON,1,PRIMARIO,"PK - 5, EEE",349,342,302,38.9,31.5,47.6,36.5,36.0,55.6,44.9,36.2,33.3,52.9,60.0,59.0,18.38415,-66.17501,Schools received displaced students in SY 2019,2019,349,147,303,180,0,7,0,169,0,0,202,46,0,339,0,0,3
70565,Dr. Jose Padin,BAYAMON,BAYAMON,0,TODOS LOS NIVELES,EEI - EES,93,90,93,0.0,33.3,20.0,28.6,66.7,30.0,0.0,16.7,75.0,14.3,0.0,15.8,18.37319,-66.15324,Schools did not receive displaced students,2019,93,75,72,23,0,2,26,70,0,0,18,21,0,91,0,1,0
71043,Dr. Jose Padin,BAYAMON,COROZAL,0,TODOS LOS NIVELES,"K - 12, EEE - EEI",479,399,296,36.8,33.3,46.4,17.2,20.8,17.6,15.8,15.1,24.8,40.0,46.3,40.0,18.29035,-66.35331,Schools did not receive displaced students,2019,479,151,423,232,0,4,4,247,0,0,328,56,0,473,0,1,2
71670,Dr. Pedro Albizu Campos,BAYAMON,TOA BAJA,0,SECUNDARIO,9 - 12,744,703,797,50.0,48.3,50.7,0.0,0.0,2.9,37.5,48.6,50.5,30.9,37.4,37.6,18.44928,-66.18166,Schools did not receive displaced students,2019,744,106,473,397,0,21,0,347,0,0,638,271,1,722,0,1,0
70516,Dr. Agustin Stahl,BAYAMON,BAYAMON,0,SECUNDARIO,9 - 12,446,574,659,33.1,28.7,32.9,0.0,0.0,0.6,36.9,39.3,36.6,27.3,39.6,36.5,18.3992,-66.15863,Schools did not receive displaced students,2019,446,83,343,248,0,20,2,198,0,0,363,103,0,426,0,0,0
70490,Dr.Jose Antonio Davila,BAYAMON,BAYAMON,0,PRIMARIO,"6 - 8, EEI",417,455,521,29.1,22.8,28.1,1.5,1.3,1.4,32.5,23.5,23.8,27.0,13.4,16.6,18.39262,-66.15916,Schools did not receive displaced students,2019,417,188,346,184,0,14,1,233,0,0,229,71,0,403,0,1,0
12369,Elemental Urbana,BAYAMON,MOROVIS,1,PRIMARIO,"K - 5, EEE",335,362,352,30.5,37.7,48.7,46.8,29.2,43.1,21.4,15.6,33.8,81.6,23.6,70.9,18.32623,-66.40863,Schools received displaced students in SY 2019,2019,335,146,306,142,0,4,0,193,0,0,189,29,0,331,1,1,0
